class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
0 -0.136040 0.374953 -0.011395 0.026695 0.009320 0.006661
0 -0.140990 0.394668 -0.009685 0.029275 0.008070 0.007408
0 -0.141510 0.397009 -0.007455 0.031401 0.008560 0.007649
0 -0.142885 0.403501 -0.006415 0.032376 0.009690 0.008767
0 -0.141785 0.397087 -0.008245 0.032401 0.010850 0.009416
0 -0.140995 0.392131 -0.011055 0.026929 0.011885 0.009109
0 -0.142795 0.401110 -0.009805 0.024890 0.011430 0.009150
0 -0.143585 0.405175 -0.007305 0.024862 0.009535 0.010406
0 -0.147035 0.419918 -0.005165 0.025822 0.007705 0.011075
0 -0.149905 0.435918 -0.001195 0.029913 0.007400 0.010992
0 -0.153785 0.460410 0.000790 0.031577 0.007005 0.010918
0 -0.153450 0.458788 0.003510 0.031456 0.004715 0.010258
0 -0.153635 0.459645 0.006720 0.030512 0.004565 0.010243
0 -0.154765 0.465340 0.006815 0.030370 0.005815 0.012225
0 -0.118940 0.289474 -0.010390 0.020921 -0.005270 0.012768
0 -0.115610 0.273352 -0.011825 0.020668 -0.004320 0.012017
0 -0.112375 0.257546 -0.011490 0.020303 -0.004075 0.011802
0 -0.111155 0.252323 -0.013350 0.022013 -0.003895 0.011701
0 -0.108040 0.237911 -0.012435 0.022122 -0.004570 0.011238
0 -0.104010 0.217955 -0.014845 0.021507 -0.005850 0.009729
0 -0.101045 0.208001 -0.012005 0.018698 -0.007435 0.008710
0 -0.102940 0.214205 -0.012310 0.018573 -0.008595 0.008440
0 -0.103460 0.215176 -0.008065 0.018073 -0.008810 0.008477
0 -0.105325 0.223570 -0.006690 0.016122 -0.007895 0.008220
0 -0.103340 0.214873 -0.003360 0.010894 -0.007160 0.007903
0 -0.101475 0.206650 -0.003910 0.011000 -0.004720 0.004819
0 -0.098480 0.193179 -0.007025 0.012119 -0.002855 0.002569
0 -0.098875 0.195029 -0.010200 0.012693 -0.002215 0.002326
0 -0.098295 0.193090 -0.011975 0.011272 -0.001575 0.002349
0 -0.097865 0.191795 -0.010540 0.012438 -0.000535 0.002930
0 -0.100125 0.200532 -0.011210 0.012705 -0.000535 0.002930
0 -0.100525 0.202346 -0.006840 0.011648 0.000625 0.002809
0 -0.099305 0.197095 -0.007815 0.012185 0.001385 0.003388
0 -0.098145 0.192893 -0.008245 0.012579 0.000165 0.002829
0 -0.095180 0.180225 -0.005620 0.013503 0.000015 0.002883
0 -0.095090 0.179908 -0.001190 0.019522 -0.000080 0.002926
0 -0.093350 0.174800 0.000155 0.018929 0.000900 0.002537
0 -0.095335 0.183974 -0.000610 0.020454 0.001910 0.002442
0 -0.096340 0.187803 0.000705 0.021751 0.001850 0.002419
0 -0.095880 0.186342 0.002810 0.021966 0.001815 0.002397
0 -0.094690 0.184308 0.004425 0.023192 0.001905 0.002399
0 -0.092215 0.176737 0.004885 0.023394 0.002180 0.002360
0 -0.093500 0.180088 0.006140 0.025968 0.003100 0.002440
0 -0.091025 0.169492 0.010050 0.028563 0.003925 0.002762
0 -0.090690 0.168326 0.012370 0.030089 0.004565 0.002823
0 -0.145230 0.447064 0.023790 0.082153 -0.000225 0.007206
0 -0.147730 0.456851 0.024855 0.082384 -0.000955 0.007357
0 -0.148650 0.461057 0.025830 0.082345 -0.003215 0.007654
0 -0.147795 0.457400 0.025830 0.082345 -0.005780 0.008857
0 -0.150970 0.476562 0.027140 0.081343 -0.007245 0.009931
0 -0.152530 0.485417 0.023600 0.085813 -0.006295 0.009549
0 -0.152500 0.485217 0.021370 0.088865 -0.006965 0.009679
0 -0.157905 0.517969 0.023750 0.092328 -0.006050 0.009591
0 -0.157875 0.517839 0.024820 0.093659 -0.005590 0.009517
0 -0.161630 0.534506 0.030595 0.098686 -0.004980 0.009784
0 -0.165390 0.556769 0.039850 0.122671 -0.003850 0.010843
0 -0.169820 0.581119 0.044250 0.140517 -0.002630 0.011075
0 -0.167930 0.568263 0.042415 0.135725 -0.001895 0.010548
0 -0.162130 0.523522 0.036065 0.105286 -0.000825 0.009635
0 -0.158160 0.493923 0.038050 0.104167 -0.001100 0.009789
0 -0.159260 0.499734 0.036435 0.103463 -0.000520 0.009635
0 -0.158100 0.491764 0.029285 0.099672 0.000030 0.009360
0 -0.153185 0.463421 0.019480 0.078363 0.000365 0.009319
0 -0.152210 0.458830 0.017925 0.080172 -0.001375 0.008210
