class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 0.082060 0.229833 0.036685 0.203361 -0.009560 0.179053
1 0.091710 0.234448 0.028320 0.185652 -0.021715 0.166201
1 0.079830 0.239337 0.022425 0.166392 -0.041295 0.225979
1 0.067645 0.228583 0.024380 0.176970 -0.046335 0.227694
1 0.059185 0.208946 0.026455 0.179973 -0.038730 0.242745
1 0.050695 0.210966 0.026545 0.179992 -0.024895 0.268113
1 0.038050 0.199215 0.021900 0.194942 -0.011425 0.276307
1 0.035390 0.208433 0.026360 0.172855 -0.005040 0.283500
1 0.031635 0.207386 0.027920 0.165176 0.005500 0.283622
1 0.028275 0.185532 0.015610 0.244594 0.015120 0.269416
1 0.024825 0.180305 0.002415 0.352424 0.021290 0.247770
1 0.025465 0.182449 -0.011240 0.409081 0.018815 0.250685
1 0.029560 0.199202 -0.029260 0.485261 0.014170 0.251071
1 0.029135 0.197579 -0.051895 0.561515 0.001590 0.250363
1 0.010440 0.221762 -0.073095 0.604826 -0.019820 0.291594
1 0.006500 0.206021 -0.091025 0.636596 -0.033350 0.327406
1 -0.014335 0.265571 -0.103855 0.650005 -0.040410 0.348714
1 -0.027350 0.287701 -0.110755 0.632461 -0.032160 0.364625
1 -0.038345 0.306924 -0.111425 0.631964 -0.017620 0.396232
1 -0.042590 0.315486 -0.111275 0.632173 -0.006930 0.412401
1 -0.050990 0.340740 -0.105200 0.637023 -0.002075 0.416416
1 -0.060000 0.331559 -0.108745 0.645418 0.002260 0.407303
1 -0.057680 0.322403 -0.115890 0.657374 0.015180 0.332400
1 -0.052365 0.313857 -0.132355 0.658984 0.017865 0.328633
1 -0.050105 0.314016 -0.144295 0.684910 0.008515 0.317697
1 -0.041555 0.313911 -0.154190 0.718152 -0.006420 0.297865
1 -0.048180 0.357638 -0.145450 0.707381 -0.015305 0.276295
1 -0.051660 0.377641 -0.129080 0.767992 -0.021110 0.268293
1 -0.050560 0.376966 -0.120925 0.762022 -0.030735 0.264156
1 -0.060210 0.362773 -0.092580 0.768244 -0.035315 0.261288
1 -0.059965 0.362873 -0.066830 0.691700 -0.021660 0.322940
1 -0.060940 0.359570 -0.045235 0.672914 -0.006265 0.385412
1 -0.066590 0.338939 -0.022480 0.620434 0.004000 0.407998
1 -0.072700 0.330365 -0.001620 0.534159 0.014965 0.401496
1 -0.060940 0.284567 0.012800 0.463628 0.031945 0.337602
1 -0.058190 0.294619 0.029325 0.421653 0.045750 0.300774
